"trap_id","year","week","spp","spp0","key","zone","zone2","trap_date","method","trap_status","total","source","tl_match"
"FC-092GR",2018,30,"Pipiens","Pipiens","FC092GR|Pipiens|2018|30","FC","FC",2018-07-23,"G","culex",0,"culex_sheet",TRUE
"FC-092GR",2018,30,"Tarsalis","Tarsalis","FC092GR|Tarsalis|2018|30","FC","FC",2018-07-23,"G","culex",19,"culex_sheet",TRUE
"LC-049",2018,28,"Tarsalis","Tarsalis","LC049|Tarsalis|2018|28","BE","BE",2018-07-11,"L","culex",66,"culex_sheet",TRUE
"LV-095",2017,31,"Tarsalis","Tarsalis","LV095|Tarsalis|2017|31","LV","LV",2017-07-31,"L","culex",101,"culex_sheet",TRUE
"FC-041",2017,31,"Tarsalis","Tarsalis","FC041|Tarsalis|2017|31","FC","FC",2017-08-02,"L","no mosquitoes",0,"culex_sheet",TRUE
"FC-049",2018,28,"Tarsalis","Tarsalis","FC049|Tarsalis|2018|28","FC","FC",2018-07-11,"L","no mosquitoes",0,"culex_sheet",TRUE
"FC-001",2013,26,"Tarsalis","Tarsalis","FC001|Tarsalis|2013|26","FC","FC",2013-06-27,"L","culex",32,"culex_sheet",TRUE
"FC-001",2014,30,"Tarsalis","Tarsalis","FC001|Tarsalis|2014|30","FC","FC",2014-07-24,"L","culex",50,"culex_sheet",TRUE
"FC-004",2012,36,"Pipiens","Pipiens","FC004|Pipiens|2012|36","FC","FC",2012-09-05,"L","culex",1,"culex_sheet",TRUE
"FC-004",2013,26,"Pipiens","Pipiens","FC004|Pipiens|2013|26","FC","FC",2013-06-25,"L","culex",1,"culex_sheet",TRUE
"FC-004",2013,26,"Tarsalis","Tarsalis","FC004|Tarsalis|2013|26","FC","FC",2013-06-25,"L","culex",4,"culex_sheet",TRUE
"FC-004",2014,30,"Tarsalis","Tarsalis","FC004|Tarsalis|2014|30","FC","FC",2014-07-21,"L","culex",50,"culex_sheet",TRUE
"FC-004",2015,27,"Tarsalis","Tarsalis","FC004|Tarsalis|2015|27","FC","FC",2015-06-29,"L","culex",50,"culex_sheet",TRUE
"FC-004",2015,28,"Tarsalis","Tarsalis","FC004|Tarsalis|2015|28","FC","FC",2015-07-06,"L","culex",50,"culex_sheet",TRUE
"FC-004",2015,29,"Pipiens","Pipiens","FC004|Pipiens|2015|29","FC","FC",2015-07-13,"L","culex",7,"culex_sheet",TRUE
"FC-004",2015,29,"Tarsalis","Tarsalis","FC004|Tarsalis|2015|29","FC","FC",2015-07-13,"L","culex",50,"culex_sheet",TRUE
"FC-004",2015,30,"Tarsalis","Tarsalis","FC004|Tarsalis|2015|30","FC","FC",2015-07-20,"L","culex",50,"culex_sheet",TRUE
"FC-004",2015,31,"Tarsalis","Tarsalis","FC004|Tarsalis|2015|31","FC","FC",2015-07-27,"L","culex",50,"culex_sheet",TRUE
"FC-004",2015,32,"Tarsalis","Tarsalis","FC004|Tarsalis|2015|32","FC","FC",2015-08-03,"L","culex",50,"culex_sheet",TRUE
"FC-004",2015,33,"Tarsalis","Tarsalis","FC004|Tarsalis|2015|33","FC","FC",2015-08-10,"L","culex",50,"culex_sheet",TRUE
"FC-006",2012,36,"Pipiens","Pipiens","FC006|Pipiens|2012|36","FC","FC",2012-09-05,"L","culex",11,"culex_sheet",TRUE
"FC-006",2013,26,"Tarsalis","Tarsalis","FC006|Tarsalis|2013|26","FC","FC",2013-06-24,"L","culex",22,"culex_sheet",TRUE
"FC-006",2014,30,"Pipiens","Pipiens","FC006|Pipiens|2014|30","FC","FC",2014-07-21,"L","culex",49,"culex_sheet",TRUE
"FC-006",2014,30,"Tarsalis","Tarsalis","FC006|Tarsalis|2014|30","FC","FC",2014-07-21,"L","culex",50,"culex_sheet",TRUE
"FC-006",2015,27,"Tarsalis","Tarsalis","FC006|Tarsalis|2015|27","FC","FC",2015-06-29,"L","culex",50,"culex_sheet",TRUE
"FC-006",2015,30,"Tarsalis","Tarsalis","FC006|Tarsalis|2015|30","FC","FC",2015-07-20,"L","culex",50,"culex_sheet",TRUE
"FC-006",2015,31,"Tarsalis","Tarsalis","FC006|Tarsalis|2015|31","FC","FC",2015-07-27,"L","culex",50,"culex_sheet",TRUE
"FC-006",2015,32,"Tarsalis","Tarsalis","FC006|Tarsalis|2015|32","FC","FC",2015-08-03,"L","culex",50,"culex_sheet",TRUE
"FC-006",2015,33,"Tarsalis","Tarsalis","FC006|Tarsalis|2015|33","FC","FC",2015-08-10,"L","culex",50,"culex_sheet",TRUE
"FC-014",2014,30,"Pipiens","Pipiens","FC014|Pipiens|2014|30","FC","FC",2014-07-22,"L","culex",6,"culex_sheet",TRUE
"FC-014",2014,30,"Tarsalis","Tarsalis","FC014|Tarsalis|2014|30","FC","FC",2014-07-22,"L","culex",50,"culex_sheet",TRUE
"FC-014",2015,27,"Tarsalis","Tarsalis","FC014|Tarsalis|2015|27","FC","FC",2015-06-29,"L","culex",50,"culex_sheet",TRUE
"FC-014",2015,29,"Tarsalis","Tarsalis","FC014|Tarsalis|2015|29","FC","FC",2015-07-13,"L","culex",50,"culex_sheet",TRUE
"FC-014",2015,31,"Tarsalis","Tarsalis","FC014|Tarsalis|2015|31","FC","FC",2015-07-27,"L","culex",50,"culex_sheet",TRUE
"FC-014",2015,32,"Tarsalis","Tarsalis","FC014|Tarsalis|2015|32","FC","FC",2015-08-03,"L","culex",50,"culex_sheet",TRUE
"FC-015",2013,26,"Tarsalis","Tarsalis","FC015|Tarsalis|2013|26","FC","FC",2013-06-26,"L","culex",1,"culex_sheet",TRUE
"FC-019",2012,36,"Pipiens","Pipiens","FC019|Pipiens|2012|36","FC","FC",2012-09-05,"L","culex",10,"culex_sheet",TRUE
"FC-019",2012,36,"Tarsalis","Tarsalis","FC019|Tarsalis|2012|36","FC","FC",2012-09-05,"L","culex",1,"culex_sheet",TRUE
"FC-019",2014,30,"Tarsalis","Tarsalis","FC019|Tarsalis|2014|30","FC","FC",2014-07-21,"L","culex",50,"culex_sheet",TRUE
"FC-019",2015,26,"Tarsalis","Tarsalis","FC019|Tarsalis|2015|26","FC","FC",2015-06-23,"L","culex",50,"culex_sheet",TRUE
"FC-019",2015,31,"Tarsalis","Tarsalis","FC019|Tarsalis|2015|31","FC","FC",2015-07-27,"L","culex",50,"culex_sheet",TRUE
"FC-019",2015,32,"Tarsalis","Tarsalis","FC019|Tarsalis|2015|32","FC","FC",2015-08-03,"L","culex",50,"culex_sheet",TRUE
"FC-023",2013,26,"Tarsalis","Tarsalis","FC023|Tarsalis|2013|26","FC","FC",2013-06-25,"L","culex",3,"culex_sheet",TRUE
"FC-023",2014,30,"Tarsalis","Tarsalis","FC023|Tarsalis|2014|30","FC","FC",2014-07-22,"L","culex",50,"culex_sheet",TRUE
"FC-023",2015,29,"Tarsalis","Tarsalis","FC023|Tarsalis|2015|29","FC","FC",2015-07-14,"L","culex",50,"culex_sheet",TRUE
"FC-023",2015,30,"Tarsalis","Tarsalis","FC023|Tarsalis|2015|30","FC","FC",2015-07-21,"L","culex",50,"culex_sheet",TRUE
"FC-023",2015,31,"Tarsalis","Tarsalis","FC023|Tarsalis|2015|31","FC","FC",2015-07-28,"L","culex",50,"culex_sheet",TRUE
"FC-027",2012,36,"Pipiens","Pipiens","FC027|Pipiens|2012|36","FC","FC",2012-09-05,"L","culex",1,"culex_sheet",TRUE
"FC-027",2012,36,"Tarsalis","Tarsalis","FC027|Tarsalis|2012|36","FC","FC",2012-09-05,"L","culex",1,"culex_sheet",TRUE
"FC-027",2013,26,"Pipiens","Pipiens","FC027|Pipiens|2013|26","FC","FC",2013-06-25,"L","culex",0,"culex_sheet",TRUE
"FC-027",2013,26,"Tarsalis","Tarsalis","FC027|Tarsalis|2013|26","FC","FC",2013-06-25,"L","culex",10,"culex_sheet",TRUE
"FC-027",2014,30,"Tarsalis","Tarsalis","FC027|Tarsalis|2014|30","FC","FC",2014-07-22,"L","culex",52,"culex_sheet",TRUE
"FC-027",2015,26,"Tarsalis","Tarsalis","FC027|Tarsalis|2015|26","FC","FC",2015-06-23,"L","culex",50,"culex_sheet",TRUE
"FC-027",2015,29,"Tarsalis","Tarsalis","FC027|Tarsalis|2015|29","FC","FC",2015-07-14,"L","culex",50,"culex_sheet",TRUE
"FC-027",2015,30,"Tarsalis","Tarsalis","FC027|Tarsalis|2015|30","FC","FC",2015-07-21,"L","culex",50,"culex_sheet",TRUE
"FC-027",2015,31,"Tarsalis","Tarsalis","FC027|Tarsalis|2015|31","FC","FC",2015-07-28,"L","culex",50,"culex_sheet",TRUE
